insttype,mat_no,mat_unit,quote
deposit,1,DY,0.0114300512894769
ois,1,WK,0.0117544683397647
ois,2,WK,0.0117192488714547
ois,1,MO,0.0139029187867901
ois,2,MO,0.0156312526794239
ois,3,MO,0.0171867554199139
ois,4,MO,0.0184170968503377
ois,5,MO,0.0199017217905799
ois,6,MO,0.0208892750373695
ois,7,MO,0.0214117209136866
ois,8,MO,0.0219956323432342
ois,9,MO,0.0228731118080222
ois,10,MO,0.0232235492876754
ois,11,MO,0.0231677473790674
ois,1,YR,0.0235021350968873
ois,18,MO,0.0241201320639824
ois,2,YR,0.0237930162008738
ois,3,YR,0.0229371518011324
ois,4,YR,0.0221936354768336
ois,5,YR,0.0217948745323654
ois,6,YR,0.0210579702264044
ois,7,YR,0.021460102330477
ois,8,YR,0.0212765909844622
ois,9,YR,0.0213733683439456
ois,10,YR,0.0217539038773092
ois,11,YR,0.0219640647152077
ois,12,YR,0.0218992122542896
ois,15,YR,0.0221450159228985
ois,20,YR,0.0205728289194788
ois,25,YR,0.0190106478781759
ois,30,YR,0.0174356611822427
ois,40,YR,0.0157548457654589
ois,50,YR,0.0144514117996907
